contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,inTheMoney,snapshot_time,snapshot_str,ticker
AAPL260429C00325000,2026-04-29,call,325.0,0.0,0.01,0.01,1489.0,3,1.125004375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00330000,2026-04-29,call,330.0,0.0,0.01,0.01,1010.0,23,1.21875390625,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00185000,2026-04-29,put,185.0,0.0,0.01,0.01,1.0,7504,2.2500043749999996,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00190000,2026-04-29,put,190.0,0.0,0.01,0.01,1.0,7502,2.1250046874999997,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00195000,2026-04-29,put,195.0,0.0,0.01,0.09,,1,1.96875015625,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00200000,2026-04-29,put,200.0,0.0,0.01,0.01,6000.0,6001,1.8125009374999999,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00210000,2026-04-29,put,210.0,0.0,0.01,0.01,1.0,4,1.5625021874999998,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00215000,2026-04-29,put,215.0,0.0,0.01,0.01,1.0,50,1.4375028125,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00220000,2026-04-29,put,220.0,0.0,0.01,0.01,22.0,500,1.3125034374999998,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00225000,2026-04-29,put,225.0,0.0,0.05,0.05,14.0,34,1.359378203125,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00230000,2026-04-29,put,230.0,0.0,0.07,0.05,62.0,33,1.2578162109375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00235000,2026-04-29,put,235.0,0.0,0.01,0.01,532.0,728,0.9062509375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00237500,2026-04-29,put,237.5,0.0,0.23,0.01,51.0,18,1.2109414453124998,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00240000,2026-04-29,put,240.0,0.0,0.11,0.01,86.0,337,1.015629921875,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00242500,2026-04-29,put,242.5,0.0,0.02,0.01,90.0,207,0.7656273437500001,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00245000,2026-04-29,put,245.0,0.0,0.01,0.01,125.0,465,0.6562534375000001,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
