contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,inTheMoney,snapshot_time,snapshot_str,ticker
AAPL260429C00190000,2026-04-29,call,190.0,78.3,81.55,80.26,23.0,50,4.369145163574218,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00200000,2026-04-29,call,200.0,68.75,71.45,70.22,19.0,111,3.777344306640625,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00205000,2026-04-29,call,205.0,64.35,65.7,65.32,24.0,17,2.94531513671875,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00215000,2026-04-29,call,215.0,53.3,56.4,54.9,28.0,21,3.0019556201171875,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00220000,2026-04-29,call,220.0,49.2,51.55,50.29,26.0,29,1.951172119140625,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00225000,2026-04-29,call,225.0,44.3,45.5,45.36,11.0,18,1.9140629296875002,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00230000,2026-04-29,call,230.0,39.45,40.6,40.2,13.0,62,1.8085947070312498,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00235000,2026-04-29,call,235.0,34.15,35.8,34.79,7.0,46,1.7421887890624999,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00240000,2026-04-29,call,240.0,29.35,30.55,30.31,14.0,29,1.3730500097656249,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
AAPL260429C00245000,2026-04-29,call,245.0,24.05,25.75,25.3,8.0,11,1.2939488427734374,,,,,True,2026-04-29 18:31:18.793436,20260429_183118,AAPL
